Model,RMSE,MAE,MAPE
"ARIMA(5,1,0)",17.88359299073738,15.112181265110625,6.091422194574052
"SARIMA(1, 1, 1)x(1, 1, 1, 5)",14.57319405428814,12.324156618721497,4.968672952175672
LSTM,11.547964275552346,10.504967753092448,4.252597357683751
