Date,ARIMA,SARIMA,LSTM
2024-11-15 00:00:00-05:00,227.307653674377,227.5145122865328,226.83629
2024-11-18 00:00:00-05:00,227.4308436334975,228.06653492263356,226.73921
2024-11-19 00:00:00-05:00,227.39021865884692,228.0501734032892,226.69604
2024-11-20 00:00:00-05:00,227.4507229057711,228.2760909087122,226.70036
2024-11-21 00:00:00-05:00,227.17802481414014,228.33637267232567,226.75964
2024-11-22 00:00:00-05:00,227.1500753307183,228.33844785046165,226.8907
2024-11-25 00:00:00-05:00,227.14229793311844,228.61075208653713,227.11226
2024-11-26 00:00:00-05:00,227.1573184565095,228.59168597197282,227.4162
2024-11-27 00:00:00-05:00,227.1406850966555,228.88138499312456,227.77835
2024-11-29 00:00:00-05:00,227.1624780582585,229.2314865901792,228.20317
2024-12-02 00:00:00-05:00,227.16658919993586,229.26422656134375,228.7014
2024-12-03 00:00:00-05:00,227.1681051114833,229.5633285096073,229.2933
2024-12-04 00:00:00-05:00,227.16525807415763,229.54452165596405,229.96727
2024-12-05 00:00:00-05:00,227.16743952526033,229.82810997615084,230.68849
2024-12-06 00:00:00-05:00,227.16589261269004,230.15044495645031,231.42741
2024-12-09 00:00:00-05:00,227.16547173616993,230.18024704133316,232.20511
2024-12-10 00:00:00-05:00,227.16514836669694,230.47678159506506,233.01663
2024-12-11 00:00:00-05:00,227.16554874721464,230.45794990253984,233.83385
2024-12-12 00:00:00-05:00,227.1653304861101,230.7421236674981,234.65352
2024-12-13 00:00:00-05:00,227.16542805245916,231.0671188697063,235.45746
2024-12-16 00:00:00-05:00,227.16545442782314,231.09720242314253,236.26108
2024-12-17 00:00:00-05:00,227.16550882628326,231.39398294991614,237.07614
2024-12-18 00:00:00-05:00,227.16546229635313,231.37515363711685,237.83458
2024-12-19 00:00:00-05:00,227.16548046456558,231.65927131267034,238.53528
2024-12-20 00:00:00-05:00,227.165474414686,231.98401164837222,239.23032
2024-12-23 00:00:00-05:00,227.1654749233351,232.01406823529618,239.92734
2024-12-24 00:00:00-05:00,227.165467391218,232.31082519625764,240.64673
2024-12-26 00:00:00-05:00,227.16547206295124,232.29199565546517,241.37654
2024-12-27 00:00:00-05:00,227.16547074486056,232.5761187047473,242.10948
2024-12-30 00:00:00-05:00,227.165471269407,232.9008834583129,242.80453
